Movie_Name,Rating,Voting_Counts,Duration_Total,Genre,Duration_Minutes,Duration_Category,Duration
Kingdom of the Planet of the Apes,6.8,155000.0,2h 25m,Action,145.0,120-150 min,2–3 hrs
Maharaja,8.4,71000.0,2h 21m,Action,141.0,120-150 min,2–3 hrs
Godzilla x Kong: The New Empire,6.0,124000.0,1h 55m,Action,115.0,Standard,< 2 hrs
Homestead,5.2,4200.0,1h 52m,Action,112.0,Standard,< 2 hrs
Absolution,5.2,9000.0,1h 52m,Action,112.0,Standard,< 2 hrs
Monkey Man,6.8,94000.0,2h 1m,Action,121.0,120-150 min,2–3 hrs
Red One,6.3,143000.0,2h 3m,Action,123.0,120-150 min,2–3 hrs
The Instigators,6.2,39000.0,1h 41m,Action,101.0,Standard,< 2 hrs
The Lord of the Rings: The War of the Rohirrim,6.3,33000.0,2h 14m,Action,134.0,120-150 min,2–3 hrs
Old Guy,5.2,3200.0,1h 34m,Action,94.0,Standard,< 2 hrs
Kung Fu Panda 4,6.3,71000.0,1h 34m,Action,94.0,Standard,< 2 hrs
Drive-Away Dolls,5.4,24000.0,1h 24m,Action,84.0,Short,< 2 hrs
Elevation,5.6,24000.0,1h 31m,Action,91.0,Standard,< 2 hrs
The Killer's Game,5.8,18000.0,1h 44m,Action,104.0,Standard,< 2 hrs
Lift,5.5,50000.0,1h 47m,Action,107.0,Standard,< 2 hrs
Take Cover,5.1,2900.0,1h 30m,Action,90.0,Standard,< 2 hrs
Thelma,7.0,24000.0,1h 38m,Action,98.0,Standard,< 2 hrs
Attack on Titan the Movie: The Last Attack,9.1,18000.0,2h 25m,Action,145.0,120-150 min,2–3 hrs
Beverly Hills Cop: Axel F,6.4,83000.0,1h 58m,Action,118.0,Standard,< 2 hrs
Relay,7.4,137.0,1h 52m,Action,112.0,Standard,< 2 hrs
Blitz,6.2,17000.0,,Action,,150+ min,3–4 hrs
Uglies,4.7,34000.0,1h 40m,Action,100.0,Standard,< 2 hrs
Atlas,5.6,57000.0,1h 58m,Action,118.0,Standard,< 2 hrs
Gunner,3.2,2900.0,1h 46m,Action,106.0,Standard,< 2 hrs
Pushpa: The Rule - Part 2,6.1,59000.0,3h 21m,Action,201.0,150+ min,3–4 hrs
The Prosecutor,6.6,2700.0,1h 57m,Action,117.0,Standard,< 2 hrs
Canary Black,5.4,12000.0,1h 41m,Action,101.0,Standard,< 2 hrs
Solo Leveling: ReAwakening,8.8,14000.0,2h 1m,Action,121.0,120-150 min,2–3 hrs
Brothers,5.4,14000.0,1h 29m,Action,89.0,Short,< 2 hrs
Marco,6.7,23000.0,2h 25m,Action,145.0,120-150 min,2–3 hrs
The Fix,4.7,1600.0,1h 38m,Action,98.0,Standard,< 2 hrs
Jackpot!,5.8,31000.0,1h 46m,Action,106.0,Standard,< 2 hrs
Trigger Warning,4.6,20000.0,1h 46m,Action,106.0,Standard,< 2 hrs
Kalki 2898 AD,7.0,68000.0,,Action,,150+ min,3–4 hrs
The Silent Hour,6.1,8400.0,1h 39m,Action,99.0,Standard,< 2 hrs
Night Call,6.7,2500.0,1h 37m,Action,97.0,Standard,< 2 hrs
Rebel Moon - Part Two: The Scargiver,5.3,60000.0,2h 2m,Action,122.0,120-150 min,2–3 hrs
The Shadow Strays,6.5,9700.0,2h 24m,Action,144.0,120-150 min,2–3 hrs
11 Rebels,6.3,723.0,2h 35m,Action,155.0,150+ min,2–3 hrs
Karma,7.9,1500.0,2h 47m,Action,167.0,150+ min,2–3 hrs
Boneyard,4.1,5200.0,1h 36m,Action,96.0,Standard,< 2 hrs
Uprising,6.6,6000.0,2h 6m,Action,126.0,120-150 min,2–3 hrs
